entry_time,exit_time,exit_reason,mfe_bucket,mfe_bucket_label,mfe_pts,mae_pts,final_pts,window_bars,entry_open,entry_high,entry_low,entry_close,exit_open,exit_high,exit_low,exit_close,fast_rsi_entry,mid_rsi_entry,slow_rsi_entry,fast_adx_entry
2017-07-05 15:05:00,2017-07-05 15:25:00,session_end_forced,5,5 (+11 to +15 pts),12.049999999999272,-2.9500000000007276,9.649999999999636,4,9630.6,9632.9,9628.65,9631.6,9640.25,9643.65,9638.65,9641.25,52.03758822056031,50.57549255897804,62.331444662604724,23.532923585503397
2017-07-06 14:20:00,2017-07-06 14:35:00,cross_down,1,1 (+0 to +3 pts),2.5500000000010914,-5.799999999999272,-2.5499999999992724,3,9696.65,9698.7,9695.1,9697.8,9699.15,9700.35,9692.0,9695.25,73.89121355141802,71.89028086394248,76.38680060561163,41.59663686250166
2017-07-07 10:30:00,2017-07-07 14:35:00,cross_down,8,8 (+29 to +41 pts),30.149999999999636,-5.050000000001091,12.600000000000364,49,9651.55,9654.1,9649.05,9654.1,9671.8,9672.45,9665.5,9666.7,37.33800897363255,34.176009978155975,65.43664935613043,68.78544861099788
2017-07-10 09:25:00,2017-07-10 12:35:00,cross_down,10,10 (+64 to +504 pts),88.0,-14.450000000000728,37.04999999999927,38,9684.2,9684.2,9684.2,9684.2,9730.15,9732.25,9720.85,9721.25,56.91188909405855,55.09768571421199,57.3257471808488,46.68793107935825
2017-07-10 14:05:00,2017-07-10 14:25:00,cross_down,6,6 (+15 to +21 pts),17.44999999999891,-4.300000000001091,8.75,4,9765.3,9766.9,9760.3,9764.6,9777.65,9778.0,9773.3,9773.35,90.30419328928598,90.06986701296604,69.73716455726007,73.45598146890015
2017-07-11 12:50:00,2017-07-11 12:55:00,cross_down,1,1 (+0 to +3 pts),1.25,-5.449999999998909,-3.5499999999992724,1,9827.35,9830.05,9824.95,9828.8,9828.25,9828.4,9823.35,9825.25,81.01937526982933,81.00339089485485,81.75519554845755,58.08119375625402
2017-07-12 09:25:00,2017-07-12 10:05:00,cross_down,2,2 (+3 to +5 pts),3.2999999999992724,-19.400000000001455,-19.05000000000109,8,9814.1,9822.15,9813.35,9819.7,9809.1,9810.1,9800.3,9800.65,49.01637521363438,46.381250783792375,74.29563040395932,42.969329583446694
2017-07-12 10:40:00,2017-07-12 11:10:00,cross_down,3,3 (+5 to +8 pts),5.399999999999636,-9.799999999999272,-8.100000000000364,6,9809.65,9811.65,9808.8,9811.0,9806.25,9807.1,9801.2,9802.9,50.3577501723076,48.49930201830201,71.67411839082249,25.77988022251697
2017-07-12 12:30:00,2017-07-12 14:55:00,cross_down,4,4 (+8 to +11 pts),7.950000000000728,-9.149999999999636,1.25,29,9800.8,9806.5,9800.75,9805.65,9809.55,9809.6,9804.6,9806.9,47.489192235500326,45.800761113571895,67.73406121681413,28.402699649299905
2017-07-12 15:00:00,2017-07-12 15:25:00,session_end_forced,5,5 (+11 to +15 pts),14.400000000001455,-4.399999999999636,12.300000000001091,5,9806.9,9811.5,9806.15,9810.55,9819.65,9824.95,9813.8,9822.85,54.917016829451796,54.58014219606779,66.63143509714443,12.468633285298145
2017-07-13 13:50:00,2017-07-13 13:55:00,cross_down,2,2 (+3 to +5 pts),3.7999999999992724,-3.350000000000364,-3.2000000000007276,1,9886.95,9889.65,9885.45,9885.85,9885.95,9888.2,9882.5,9882.65,66.53597877007117,66.11397513287524,76.68978284026979,26.93683327593591
2017-07-13 14:05:00,2017-07-13 14:25:00,cross_down,3,3 (+5 to +8 pts),6.399999999999636,-9.800000000001091,-9.399999999999636,4,9888.6,9893.4,9886.8,9890.85,9894.75,9895.1,9881.05,9881.45,66.61579747446339,65.804000874629,76.68978284026979,26.260830138169208
