symbol,timestamp,close,daily_rsi,weekly_rsi,daily_adx,weekly_adx,mfe,mae,final_ret,window_days,fwd_1w,fwd_2w,fwd_30d,fwd_60d,fwd_90d,fwd_180d,fwd_1y,wrsi_bucket,dadx_bucket,wadx_bucket,mfe_bucket
NESTLEIND,2011-04-06,185.1,53.69767408015385,53.445702623992865,13.892189658242858,35.899229673077805,0.1280929227444625,0.0,0.12512155591572127,62.0,0.009670448406266852,0.012857914640734824,0.08292814694759576,0.11863857374392217,0.15629389519178827,0.13165856293895195,0.23689897352782285,50-60,<15,30+,7
MARUTI,2011-03-23,1175.95,38.92029057690691,38.85866218253849,35.31637634746954,32.80012430129389,0.12798163187210343,-0.007483311365279133,0.04609039499978751,69.0,0.07912751392491169,0.10336323823291793,0.12798163187210343,0.02364046090395,-0.026489221480505254,-0.02993324546111653,0.1312555805944129,30-40,30+,30+,7
SHRIRAMFIN,2011-08-29,120.03,42.92251621514636,42.04710884478149,36.38200781721513,24.602508742636793,0.12796800799800034,-0.06015162875947677,0.006665000416562483,46.0,0.09864200616512542,0.06923269182704317,0.0023327501457968136,0.005998500374906346,-0.17578938598683658,-0.11322169457635589,0.007914687994668101,40-50,30+,20-25,7
KOTAKBANK,2025-09-10,394.66,43.52533978728208,41.6962844857632,25.129406904302652,32.82490041032701,0.12785688947448426,-0.0012669132924543192,0.0765722393959356,79.0,0.03902092940759139,0.02939238838493874,0.08959610804236551,0.0605077788476156,0.0782445649419754,-0.021056098920589905,,40-50,25-30,30+,7
SHRIRAMFIN,2023-03-08,254.09,47.57400838374356,43.47512832761898,29.183065132552304,16.49852728845973,0.1277500098390334,-0.048053839190837944,0.08906293045771196,79.0,-0.03219331732850572,-0.019127080955567033,0.026998307686252776,0.06096265102916276,0.10897713408634724,0.4907316305246172,0.9280963438151837,40-50,25-30,15-20,7
JSWSTEEL,2006-12-26,37.36,65.45887164501795,65.33376080107877,31.588806032071687,27.16989576708989,0.12767665952890805,0.0,0.12767665952890805,21.0,0.058886509635974305,0.09234475374732343,0.18228051391862965,0.3070128479657388,0.2591006423982869,0.6311563169164882,2.3455567451820127,60+,30+,25-30,7
HCLTECH,2018-12-31,482.17,43.139414880113094,42.36201004423654,20.364129531564203,27.88213067549008,0.12765207292033942,-0.03318331708733435,0.12765207292033942,88.0,-0.023643113424725803,-0.028143600804695468,0.05605906630441537,0.0915237364415038,0.15183441524773422,0.08789431113507673,0.17821515233216512,40-50,20-25,25-30,7
AXISBANK,2013-11-29,231.19,49.94432152443436,48.899700392359534,16.803430401935945,22.534022008800985,0.12764392923569345,-0.04710411349971877,0.00817509407846373,81.0,0.10709805787447557,0.07253773952160558,0.11272113845754572,-0.029586054760153968,0.09611142350447688,0.6089796271465029,1.1157922055452225,40-50,15-20,20-25,7
ADANIENT,2026-02-02,1995.4,36.83354460420293,36.13640772467999,47.58351313561611,46.75858383834214,0.12764358023453926,-0.11857271724967433,-0.08078580735692098,59.0,0.12764358023453926,0.09481808158765159,0.04064348000400919,-0.046707427082289255,0.24571514483311607,0.5375363335672045,,30-40,30+,30+,7
DIVISLAB,2025-10-07,6104.5,42.25695615499349,37.58327697708268,27.490905284309804,29.750892223747236,0.12761077893357364,0.0,0.06093865181423541,77.0,0.07478089933655507,0.07904005242034562,0.12761077893357364,0.03669424195265791,0.04242771725776073,-0.04644114997133264,,30-40,25-30,25-30,7
