symbol,timestamp,entry_open,entry_high,entry_low,entry_close,daily_rsi,weekly_rsi,daily_adx,weekly_adx,mfe,mae,final_ret,window_days,comment,fwd_1w,o_1w,h_1w,l_1w,c_1w,date_1w,fwd_2w,o_2w,h_2w,l_2w,c_2w,date_2w,fwd_30d,o_30d,h_30d,l_30d,c_30d,date_30d,fwd_60d,o_60d,h_60d,l_60d,c_60d,date_60d,fwd_90d,o_90d,h_90d,l_90d,c_90d,date_90d,fwd_120d,o_120d,h_120d,l_120d,c_120d,date_120d,fwd_180d,o_180d,h_180d,l_180d,c_180d,date_180d,fwd_270d,o_270d,h_270d,l_270d,c_270d,date_270d,fwd_365d,o_365d,h_365d,l_365d,c_365d,date_365d,batch,mfe_bucket,reviewed
STLTECH,2025-03-07,57.58,60.87,57.06,60.18,22.063084849664897,18.788233672158086,56.1622721845421,44.87978116350145,1.2861415752741778,-0.12612163509471574,0.6575274177467598,287.0,,-0.08491193087404447,56.42,56.7,54.39,55.07,2025-03-17,0.012462612163509412,60.85,62.73,60.5,60.93,2025-03-21,-0.11980724493187112,54.1,54.18,50.66,52.97,2025-04-07,0.047357926221335944,62.8,65.0,61.0,63.03,2025-05-06,0.24925224327018958,73.15,77.0,73.15,75.18,2025-06-05,0.8531073446327684,115.8,117.25,110.71,111.52,2025-07-07,0.8127284812229978,108.49,111.13,107.23,109.09,2025-09-03,0.7259887005649719,105.28,105.8,103.5,103.87,2025-12-02,1.8953140578265204,176.0,179.24,165.0,174.24,2026-03-09,9,9,False
TANLA,2023-04-03,527.4,563.9,527.3,557.65,27.53302882488545,26.331304972168738,56.22445443659501,31.3002873118597,1.2855733883260108,0.0,0.9799157177441047,191.0,,0.015152873666278266,581.2,582.0,561.1,566.1,2023-04-10,0.1957320900206223,626.9,682.45,625.4,666.8,2023-04-17,0.21563704832780428,684.8,684.8,670.55,677.9,2023-05-03,0.38958127857975433,780.0,788.15,770.0,774.9,2023-06-02,0.8274006993634,1022.85,1035.4,1001.05,1019.05,2023-07-03,1.1395140320989867,1197.7,1219.0,1180.0,1193.1,2023-08-01,0.876804447233928,1037.7,1054.9,1032.0,1046.6,2023-10-03,0.9629696045906933,1100.0,1103.0,1085.05,1094.65,2023-12-29,0.6745270330852686,845.7,949.0,842.0,933.8,2024-04-02,14,9,False
RTNPOWER,2024-04-23,9.0,9.0,8.8,8.8,47.09212399166267,46.66400637457769,22.574631447801625,31.196194040357902,1.2840909090909092,-0.005681818181818232,0.8249999999999997,161.0,,0.04545454545454519,9.55,9.65,9.15,9.2,2024-04-30,0.18181818181818166,10.3,10.4,10.25,10.4,2024-05-07,0.6363636363636362,14.4,14.4,14.4,14.4,2024-05-23,1.046590909090909,18.49,18.49,17.75,18.01,2024-06-24,0.7534090909090907,14.97,15.83,14.64,15.43,2024-07-22,0.8500000000000001,15.65,16.28,15.58,16.28,2024-08-21,0.7318181818181817,15.4,15.64,15.06,15.24,2024-10-21,0.45227272727272716,12.1,13.05,11.94,12.78,2025-01-20,0.28749999999999987,11.89,11.94,11.1,11.33,2025-04-23,15,9,False
GVT&D,2025-04-15,1371.7,1404.9,1345.6,1391.0,37.90456623672898,35.864828009619636,36.76041775314008,34.52715941433783,1.2797987059669302,0.0,1.2270309130122214,251.0,,0.07994248741912302,1500.0,1520.0,1480.7,1502.2,2025-04-22,0.12020129403306967,1549.0,1572.0,1534.2,1558.2,2025-04-29,0.3241552839683681,1775.0,1854.0,1730.2,1841.9,2025-05-15,0.6526240115025164,2344.4,2344.4,2241.8,2298.8,2025-06-16,0.6435657800143779,2324.0,2324.8,2265.0,2286.2,2025-07-14,1.096980589503954,2825.0,2939.4,2823.1,2916.9,2025-08-13,1.1772106398274622,3027.4,3067.0,3011.5,3028.5,2025-10-13,0.954133716750539,2890.1,2901.0,2704.0,2718.2,2026-01-12,1.9723220704529116,4192.6,4212.9,4096.0,4134.5,2026-04-15,3,9,False
ANANTRAJ,2023-06-05,156.65,160.5,155.5,158.3,71.84983878084888,70.0806030669321,38.364213555907234,38.93240957432125,1.262476310802274,0.0,1.1699305116866707,309.0,,0.061907770056853995,164.0,169.5,163.4,168.1,2023-06-12,0.06885660138976601,168.35,170.95,168.1,169.2,2023-06-19,0.14150347441566624,177.1,182.5,177.1,180.7,2023-07-05,0.23025900189513582,195.9,197.9,194.0,194.75,2023-08-04,0.40587492103600753,223.85,226.9,218.55,222.55,2023-09-04,0.40113708149084015,219.6,224.0,216.0,221.8,2023-10-03,0.6939355653821855,269.5,271.4,262.9,268.15,2023-12-04,1.2403663929248259,358.0,364.8,351.15,354.65,2024-03-01,1.1165508528111179,396.9,396.9,319.15,335.05,2024-06-04,8,9,False
HINDPETRO,2023-11-02,169.13,172.33,168.27,170.13,46.896878575053506,44.81167639685482,19.156687118329092,17.378106230114632,1.2532181273144065,0.0,0.9244107447246224,176.0,,0.17145712102509858,200.1,203.2,198.07,199.3,2023-11-09,0.2549227061658732,210.0,217.87,208.9,213.5,2023-11-16,0.4753423852348204,236.67,252.97,236.67,251.0,2023-12-04,0.5658614001058013,270.67,271.0,265.4,266.4,2024-01-01,0.8152589196496796,316.27,318.37,306.73,308.83,2024-01-31,1.0265091400693587,344.0,350.67,343.54,344.77,2024-03-01,0.9412801974960323,340.27,343.7,327.17,330.27,2024-04-30,1.2397578322459295,386.0,389.3,378.8,381.05,2024-07-29,1.2394639393405043,380.9,383.3,380.0,381.0,2024-11-01,3,9,False
RKFORGE,2023-04-20,309.1,325.0,308.0,324.05,67.61597330030087,67.54179000623435,36.74433152550107,30.374227187530032,1.2490356426477391,-0.021293010337910867,1.1723499459959883,204.0,,0.0081777503471685,317.35,328.6,317.2,326.7,2023-04-27,0.037185619503163236,333.45,340.0,331.4,336.1,2023-05-04,0.10260762228051235,371.15,373.95,355.2,357.3,2023-05-22,0.33312760376485095,429.35,439.5,425.4,432.0,2023-06-19,0.5318623669186853,491.6,498.9,481.35,496.4,2023-07-19,0.8626755130381114,616.5,620.2,598.35,603.6,2023-08-18,1.1030705138095973,664.0,685.0,661.5,681.5,2023-10-17,1.4067273568893688,784.0,789.55,769.0,779.9,2024-01-15,1.384045671964203,730.05,790.0,717.5,772.55,2024-04-19,11,9,False
LLOYDSENGG,2026-03-27,41.82,41.82,38.5,39.04,34.143481499565624,34.07091588915339,29.649992052357096,30.87174632837465,1.246157786885246,-0.033555327868852514,1.2243852459016393,84.0,,0.12909836065573765,42.1,44.3,40.75,44.08,2026-04-06,0.2776639344262295,49.26,51.43,49.11,49.88,2026-04-10,0.5099897540983607,57.82,59.68,57.62,58.95,2026-04-27,0.9725922131147542,75.8,78.0,75.33,77.01,2026-05-26,1.1749487704918034,86.25,87.23,84.31,84.91,2026-06-25,1.3393954918032787,89.05,92.0,89.05,91.33,2026-07-27,,,,,,,,,,,,,,,,,,,13,9,False
KALYANKJIL,2022-06-27,58.95,59.5,58.0,58.45,42.39060051497114,41.545419157198445,30.568804968861333,13.725512694302854,1.243798118049615,0.0,0.7972626176218989,310.0,,0.04704875962360999,61.0,62.15,60.25,61.2,2022-07-04,0.09067579127459369,62.95,64.25,62.35,63.75,2022-07-11,0.12403763900769893,64.05,66.25,64.05,65.7,2022-07-27,0.3601368691189051,82.0,82.4,78.55,79.5,2022-08-26,0.5269461077844311,92.7,93.0,85.8,89.25,2022-09-26,0.7125748502994009,103.65,103.8,99.55,100.1,2022-10-25,1.0829769033361845,108.0,124.35,106.9,121.75,2022-12-26,0.9948674080410604,118.25,119.65,115.35,116.6,2023-03-24,1.320786997433704,130.85,136.95,130.0,135.65,2023-06-27,5,9,False
DATAMATICS,2023-04-10,297.0,304.9,294.05,296.9,47.80379732522609,45.01515421358,30.031695422289765,18.68221141792449,1.242842707982486,-0.010946446615021865,1.0409228696530821,149.0,,-0.008588750421017033,300.0,300.0,292.95,294.35,2023-04-17,-0.0023576961940047214,293.65,297.45,292.25,296.2,2023-04-24,0.5631525766251264,467.0,478.55,451.05,464.1,2023-05-10,0.8263725159986528,547.4,554.1,535.25,542.25,2023-06-09,1.0028629168070058,620.85,620.9,588.1,594.65,2023-07-10,0.8206466823846412,550.85,564.75,536.05,540.55,2023-08-08,0.9755810037049513,584.0,604.0,573.2,586.55,2023-10-09,1.4808016167059614,742.0,742.0,728.0,736.55,2024-01-05,1.0816773324351634,615.8,627.55,607.75,618.05,2024-04-09,15,9,False
